order,name,description,vector,type,units,region,2017,2018,2019,2020,2021,2022,2023
202,NB05(ROW),"interest rate, 5-year, nominal",end,z1l,pct,ROW,1.74125,2.54916667,2.17583333,0.76886582,0.77833333,2.58958333,4.5675
203,NB10(USA),"interest rate, 10-year, nominal",end,z1l,pct,USA,2.33,2.91,2.14416667,0.89416667,1.4425,2.95166667,3.9575
204,NB10(ROW),"interest rate, 10-year, nominal",end,z1l,pct,ROW,2.33,2.91,2.14416667,0.89416667,1.4425,2.95166667,3.9575
205,NEER(USA),"trade-weighted exchange rate, FC/domestic",end,z1l,idx,USA,71.86650597,70.87421178,77.23262343,81.73908452,81.61760046,100,107.75005516
206,NEER(ROW),"trade-weighted exchange rate, FC/domestic",end,z1l,idx,ROW,71.86650597,70.87421178,77.23262343,81.73908452,81.61760046,100,107.75005516
207,"OI(a01,g02,USA)",sector demand for material goods,end,z1l,gdp,USA,1.19777686,1.19278456,1.19810934,1.19378797,1.17705516,1.17141408,1.19731063
208,"OI(a01,g02,ROW)",sector demand for material goods,end,z1l,gdp,ROW,1.19777686,1.19278456,1.19810934,1.19378797,1.17705516,1.17141408,1.19731063
209,"OI(a02,g02,USA)",sector demand for material goods,end,z1l,gdp,USA,62.69305556,62.66024997,62.75613828,62.70802859,62.23203127,62.0778127,62.49630562
210,"OI(a02,g02,ROW)",sector demand for material goods,end,z1l,gdp,ROW,62.69305556,62.66024997,62.75613828,62.70802859,62.23203127,62.0778127,62.49630562
211,"OIN(a01,USA)",sector demand for materials,end,z1l,gdp,USA,1.19777686,1.19278456,1.19810934,1.19378797,1.17705516,1.17141408,1.19731063
212,"OIN(a01,ROW)",sector demand for materials,end,z1l,gdp,ROW,1.19777686,1.19278456,1.19810934,1.19378797,1.17705516,1.17141408,1.19731063
213,"OIN(a02,USA)",sector demand for materials,end,z1l,gdp,USA,62.69305556,62.66024997,62.75613828,62.70802859,62.23203127,62.0778127,62.49630562
214,"OIN(a02,ROW)",sector demand for materials,end,z1l,gdp,ROW,62.69305556,62.66024997,62.75613828,62.70802859,62.23203127,62.0778127,62.49630562
215,"OUG(g01,USA)",domestic supply of goods,end,z1l,gdp,USA,6.38926453,6.37099415,6.38343595,6.35285444,6.31813866,6.31343262,6.3891287
216,"OUG(g01,ROW)",domestic supply of goods,end,z1l,gdp,ROW,6.38926453,6.37099415,6.38343595,6.35285444,6.31813866,6.31343262,6.3891287
217,"OUG(g02,USA)",domestic supply of goods,end,z1l,gdp,USA,152.22859815,152.21338411,152.35548548,152.4469475,151.7866736,151.56611233,152.00404241
218,"OUG(g02,ROW)",domestic supply of goods,end,z1l,gdp,ROW,152.22859815,152.21338411,152.35548548,152.4469475,151.7866736,151.56611233,152.00404241
219,"OUP(a01,USA)",domestic production,end,z1l,gdp,USA,6.38926453,6.37099415,6.38343595,6.35285444,6.31813866,6.31343262,6.3891287
220,"OUP(a01,ROW)",domestic production,end,z1l,gdp,ROW,6.38926453,6.37099415,6.38343595,6.35285444,6.31813866,6.31343262,6.3891287
221,"OUP(a02,USA)",domestic production,end,z1l,gdp,USA,152.22859815,152.21338411,152.35548548,152.4469475,151.7866736,151.56611233,152.00404241
222,"OUP(a02,ROW)",domestic production,end,z1l,gdp,ROW,152.22859815,152.21338411,152.35548548,152.4469475,151.7866736,151.56611233,152.00404241
223,OUTL(USA),aggregate output (lagged),sta,x1l,gdp,USA,158.61786268,158.61786268,158.58437826,158.73892142,158.79980193,158.10481226,157.87954495
224,OUTL(ROW),aggregate output (lagged),sta,x1l,gdp,ROW,158.61786268,158.61786268,158.58437826,158.73892142,158.79980193,158.10481226,157.87954495
225,OUTP(USA),aggregate output,ets,zel,gdp,USA,158.61786268,158.58437826,158.73892142,158.79980193,158.10481226,157.87954495,158.3931711
226,OUTP(ROW),aggregate output,ets,zel,gdp,ROW,158.61786268,158.58437826,158.73892142,158.79980193,158.10481226,157.87954495,158.3931711
227,OUTX(USA),shock to output target,exo,exo,pct,USA,0,0,0,0,0,0,0
228,OUTX(ROW),shock to output target,exo,exo,pct,ROW,0,0,0,0,0,0,0
229,"OUY(g01,USA)",composite supply,end,z1l,gdp,USA,7.49539201,7.49307928,7.45634904,7.31044268,7.37657151,7.43937691,7.41402842
230,"OUY(g01,ROW)",composite supply,end,z1l,gdp,ROW,7.49539201,7.49307928,7.45634904,7.31044268,7.37657151,7.43937691,7.41402842
231,"OUY(g02,USA)",composite supply,end,z1l,gdp,USA,165.77305926,165.95324562,165.49323851,164.17255501,164.74711701,165.35322905,164.55387481
232,"OUY(g02,ROW)",composite supply,end,z1l,gdp,ROW,165.77305926,165.95324562,165.49323851,164.17255501,164.74711701,165.35322905,164.55387481
233,PBAG(USA),USD value of permits sold through government,exo,exo,gdp,USA,0,0,0,0,0,0,0
234,PBAG(ROW),USD value of permits sold through government,exo,exo,gdp,ROW,0,0,0,0,0,0,0
235,PBAL(USA),"value of permits sold, USD",exo,exo,gdp,USA,0,0,0,0,0,0,0
236,PBAL(ROW),"value of permits sold, USD",exo,exo,gdp,ROW,0,0,0,0,0,0,0
237,PGDP(USA),GDP implicit price deflator,end,z1l,idx,USA,84.72688058,86.66788157,88.09829989,89.26898322,93.34498992,100,103.59839646
238,PGDP(ROW),GDP implicit price deflator,end,z1l,idx,ROW,84.72688058,86.66788157,88.09829989,89.26898322,93.34498992,100,103.59839646
239,"PIM(g01,USA,USA)",landed price of imports,end,z1l,idx,USA,100,100,100,100,100,100,100
240,"PIM(g01,USA,ROW)",landed price of imports,end,z1l,idx,USA,100,100,100,100,100,100,100
241,"PIM(g01,ROW,USA)",landed price of imports,end,z1l,idx,ROW,100,100,100,100,100,100,100
242,"PIM(g01,ROW,ROW)",landed price of imports,end,z1l,idx,ROW,100,100,100,100,100,100,100
243,"PIM(g02,USA,USA)",landed price of imports,end,z1l,idx,USA,100,100,100,100,100,100,100
244,"PIM(g02,USA,ROW)",landed price of imports,end,z1l,idx,USA,100,100,100,100,100,100,100
245,"PIM(g02,ROW,USA)",landed price of imports,end,z1l,idx,ROW,100,100,100,100,100,100,100
246,"PIM(g02,ROW,ROW)",landed price of imports,end,z1l,idx,ROW,100,100,100,100,100,100,100
247,"PMQ(g01,USA)",import landed price index,end,z1l,idx,USA,100,100,100,100,100,100,100
248,"PMQ(g01,ROW)",import landed price index,end,z1l,idx,ROW,100,100,100,100,100,100,100
249,"PMQ(g02,USA)",import landed price index,end,z1l,idx,USA,100,100,100,100,100,100,100
250,"PMQ(g02,ROW)",import landed price index,end,z1l,idx,ROW,100,100,100,100,100,100,100
251,"PMR(g01,USA)",price of imports incl tariffs,end,z1l,idx,USA,100,100,100,100,100,100,100
252,"PMR(g01,ROW)",price of imports incl tariffs,end,z1l,idx,ROW,100,100,100,100,100,100,100
253,"PMR(g02,USA)",price of imports incl tariffs,end,z1l,idx,USA,100,100,100,100,100,100,100
254,"PMR(g02,ROW)",price of imports incl tariffs,end,z1l,idx,ROW,100,100,100,100,100,100,100
255,"POI(a01,USA)",sector price of materials,end,z1l,idx,USA,100,100,100,100,100,100,100
256,"POI(a01,ROW)",sector price of materials,end,z1l,idx,ROW,100,100,100,100,100,100,100
257,"POI(a02,USA)",sector price of materials,end,z1l,idx,USA,100,100,100,100,100,100,100
258,"POI(a02,ROW)",sector price of materials,end,z1l,idx,ROW,100,100,100,100,100,100,100
259,PRCE(USA),household price of energy,end,z1l,idx,USA,100,100,100,100,100,100,100
260,PRCE(ROW),household price of energy,end,z1l,idx,ROW,100,100,100,100,100,100,100
261,PRCL(USA),aggregate price of consumer goods lagged,sta,x1l,idx,USA,86.12474631,86.12474631,87.88771781,89.14668004,90.12182406,93.85187482,100
262,PRCL(ROW),aggregate price of consumer goods lagged,sta,x1l,idx,ROW,86.12474631,86.12474631,87.88771781,89.14668004,90.12182406,93.85187482,100
263,PRCO(USA),household price of material,end,z1l,idx,USA,84.72688058,86.66788157,88.09829989,89.26898322,93.34498992,100,103.59839646
264,PRCO(ROW),household price of material,end,z1l,idx,ROW,84.72688058,86.66788157,88.09829989,89.26898322,93.34498992,100,103.59839646
265,PRCOL(USA),household price of material - lagged,sta,x1l,idx,USA,84.72688058,84.72688058,86.66788157,88.09829989,89.26898322,93.34498992,100
266,PRCOL(ROW),household price of material - lagged,sta,x1l,idx,ROW,84.72688058,84.72688058,86.66788157,88.09829989,89.26898322,93.34498992,100
267,PRCT(USA),aggregate price of consumer goods,ets,zel,idx,USA,86.12474631,87.88771781,89.14668004,90.12182406,93.85187482,100,103.77273218
268,PRCT(ROW),aggregate price of consumer goods,ets,zel,idx,ROW,86.12474631,87.88771781,89.14668004,90.12182406,93.85187482,100,103.77273218
269,"PRD(g01,USA)",post-tax price of goods,end,z1l,idx,USA,100,100,100,100,100,100,100
270,"PRD(g01,ROW)",post-tax price of goods,end,z1l,idx,ROW,100,100,100,100,100,100,100
271,"PRD(g02,USA)",post-tax price of goods,end,z1l,idx,USA,100,100,100,100,100,100,100
272,"PRD(g02,ROW)",post-tax price of goods,end,z1l,idx,ROW,100,100,100,100,100,100,100
273,PRDL(USA),weighted price of domestic output lag,sta,x1l,idx,USA,84.72688058,84.72688058,86.66788157,88.09829989,89.26898322,93.34498992,100
274,PRDL(ROW),weighted price of domestic output lag,sta,x1l,idx,ROW,84.72688058,84.72688058,86.66788157,88.09829989,89.26898322,93.34498992,100
275,PRDX(USA),shock to weighted price of domestic output,exo,exo,pct,USA,0,0,0,0,0,0,0
276,PRDX(ROW),shock to weighted price of domestic output,exo,exo,pct,ROW,0,0,0,0,0,0,0
277,"PRE(a01,USA)",sector price of energy,end,z1l,idx,USA,100,100,100,100,100,100,100
278,"PRE(a01,ROW)",sector price of energy,end,z1l,idx,ROW,100,100,100,100,100,100,100
279,"PRE(a02,USA)",sector price of energy,end,z1l,idx,USA,100,100,100,100,100,100,100
280,"PRE(a02,ROW)",sector price of energy,end,z1l,idx,ROW,100,100,100,100,100,100,100
281,"PRF(a01,USA)",short run profits,end,z1l,gdp,USA,1.37051218,1.37315984,1.3632905,1.35081577,1.38621142,1.40514182,1.3723299
282,"PRF(a01,ROW)",short run profits,end,z1l,gdp,ROW,1.37051218,1.37315984,1.3632905,1.35081577,1.38621142,1.40514182,1.3723299
283,"PRF(a02,USA)",short run profits,end,z1l,gdp,USA,8.83582841,8.89564794,8.81843173,9.01993114,9.44836754,9.58053797,9.06128294
284,"PRF(a02,ROW)",short run profits,end,z1l,gdp,ROW,8.83582841,8.89564794,8.81843173,9.01993114,9.44836754,9.58053797,9.06128294
285,PRFT(USA),total economywide profits,end,z1l,gdp,USA,10.20634059,10.26880779,10.18172223,10.37074691,10.83457896,10.98567979,10.43361284
286,PRFT(ROW),total economywide profits,end,z1l,gdp,ROW,10.20634059,10.26880779,10.18172223,10.37074691,10.83457896,10.98567979,10.43361284
287,PRFY(USA),profits on raw capital sector,end,z1l,gdp,USA,0,0,0,0,0,0,0
288,PRFY(ROW),profits on raw capital sector,end,z1l,gdp,ROW,0,0,0,0,0,0,0
289,PRFZ(USA),imputed short run profits on household capital,end,z1l,gdp,USA,0,0,0,0,0,0,0
290,PRFZ(ROW),imputed short run profits on household capital,end,z1l,gdp,ROW,0,0,0,0,0,0,0
291,PRGT(USA),aggregate price of government goods,end,z1l,idx,USA,84.72688058,86.66788157,88.09829989,89.26898322,93.34498992,100,103.59839646
292,PRGT(ROW),aggregate price of government goods,end,z1l,idx,ROW,84.72688058,86.66788157,88.09829989,89.26898322,93.34498992,100,103.59839646
293,PRID(USA),weighted price of domestic output,ets,zel,idx,USA,84.72688058,86.66788157,88.09829989,89.26898322,93.34498992,100,103.59839646
294,PRID(ROW),weighted price of domestic output,ets,zel,idx,ROW,84.72688058,86.66788157,88.09829989,89.26898322,93.34498992,100,103.59839646
295,PRIE(USA),raw capital sector price of energy,end,z1l,idx,USA,100,100,100,100,100,100,100
296,PRIE(ROW),raw capital sector price of energy,end,z1l,idx,ROW,100,100,100,100,100,100,100
297,PRII(USA),price paid by producers for raw capital,end,z1l,idx,USA,85.76282535,87.1083422,88.30102033,89.32830938,92.55692412,100,103.30518954
298,PRII(ROW),price paid by producers for raw capital,end,z1l,idx,ROW,85.76282535,87.1083422,88.30102033,89.32830938,92.55692412,100,103.30518954
299,PRIM(USA),weighted price of imports,end,z1l,idx,USA,87.96099583,90.30290731,88.8395775,86.97687932,93.27609103,100,97.9668913
300,PRIM(ROW),weighted price of imports,end,z1l,idx,ROW,87.96099583,90.30290731,88.8395775,86.97687932,93.27609103,100,97.9668913
301,PRIX(USA),weighted price of exports,end,z1l,idx,USA,81.3917572,84.097717,83.69409504,81.61189683,91.05293274,100,98.44166594
302,PRIX(ROW),weighted price of exports,end,z1l,idx,ROW,81.3917572,84.097717,83.69409504,81.61189683,91.05293274,100,98.44166594
303,"PRK(a01,USA)",implicit rental price,end,z1l,idx,USA,100,100,100,100,100,100,100
304,"PRK(a01,ROW)",implicit rental price,end,z1l,idx,ROW,100,100,100,100,100,100,100
305,"PRK(a02,USA)",implicit rental price,end,z1l,idx,USA,100,100,100,100,100,100,100
306,"PRK(a02,ROW)",implicit rental price,end,z1l,idx,ROW,100,100,100,100,100,100,100
307,PRKY(USA),"implicit rental price, raw capital sector",end,z1l,idx,USA,100,100,100,100,100,100,100
308,PRKY(ROW),"implicit rental price, raw capital sector",end,z1l,idx,ROW,100,100,100,100,100,100,100
309,PRKZ(USA),"implicit rental price, household capital",end,z1l,idx,USA,100,100,100,100,100,100,100
310,PRKZ(ROW),"implicit rental price, household capital",end,z1l,idx,ROW,100,100,100,100,100,100,100
311,PROI(USA),raw capital sector price of material,end,z1l,idx,USA,100,100,100,100,100,100,100
312,PROI(ROW),raw capital sector price of material,end,z1l,idx,ROW,100,100,100,100,100,100,100
313,"PRP(a01,USA)",pre-tax producer price,end,z1l,idx,USA,100,100,100,100,100,100,100
314,"PRP(a01,ROW)",pre-tax producer price,end,z1l,idx,ROW,100,100,100,100,100,100,100
315,"PRP(a02,USA)",pre-tax producer price,end,z1l,idx,USA,100,100,100,100,100,100,100
316,"PRP(a02,ROW)",pre-tax producer price,end,z1l,idx,ROW,100,100,100,100,100,100,100
317,"PRS(g01,USA)",producer price of composite,end,z1l,idx,USA,100,100,100,100,100,100,100
318,"PRS(g01,ROW)",producer price of composite,end,z1l,idx,ROW,100,100,100,100,100,100,100
319,"PRS(g02,USA)",producer price of composite,end,z1l,idx,USA,100,100,100,100,100,100,100
320,"PRS(g02,ROW)",producer price of composite,end,z1l,idx,ROW,100,100,100,100,100,100,100
321,"PRT(a01,g01,USA)",sector-specific input price,end,z1l,idx,USA,100,100,100,100,100,100,100
322,"PRT(a01,g01,ROW)",sector-specific input price,end,z1l,idx,ROW,100,100,100,100,100,100,100
323,"PRT(a02,g01,USA)",sector-specific input price,end,z1l,idx,USA,100,100,100,100,100,100,100
324,"PRT(a02,g01,ROW)",sector-specific input price,end,z1l,idx,ROW,100,100,100,100,100,100,100
325,"PRX(g01,USA)",price of exports at source,end,z1l,idx,USA,100,100,100,100,100,100,100
326,"PRX(g01,ROW)",price of exports at source,end,z1l,idx,ROW,100,100,100,100,100,100,100
327,"PRX(g02,USA)",price of exports at source,end,z1l,idx,USA,100,100,100,100,100,100,100
328,"PRX(g02,ROW)",price of exports at source,end,z1l,idx,ROW,100,100,100,100,100,100,100
329,PRXX(USA),shock to expected price of consumer goods,exo,exo,pct,USA,0,0,0,0,0,0,0
330,PRXX(ROW),shock to expected price of consumer goods,exo,exo,pct,ROW,0,0,0,0,0,0,0
331,"PRY(g01,USA)",purchase price of composite,end,z1l,idx,USA,100,100,100,100,100,100,100
332,"PRY(g01,ROW)",purchase price of composite,end,z1l,idx,ROW,100,100,100,100,100,100,100
333,"PRY(g02,USA)",purchase price of composite,end,z1l,idx,USA,100,100,100,100,100,100,100
334,"PRY(g02,ROW)",purchase price of composite,end,z1l,idx,ROW,100,100,100,100,100,100,100
335,PTAR(USA),price level target,exo,exo,idx,USA,100,100,100,100,100,100,100
336,PTAR(ROW),price level target,exo,exo,idx,ROW,100,100,100,100,100,100,100
337,RB10(USA),"interest rate, 10-year, real",end,z1l,pct,USA,0.06495532,1.27301251,0.82408067,-3.57064369,-5.44429873,-0.58349988,0.42233345
338,RB10(ROW),"interest rate, 10-year, real",end,z1l,pct,ROW,0.06495532,1.27301251,0.82408067,-3.57064369,-5.44429873,-0.58349988,0.42233345
339,REER(USA),"trade-weighted real exch rate, FC/domestic",end,z1l,idx,USA,76.87946118,73.80924643,79.5903187,83.43029603,82.18466153,100,104.64925605
340,REER(ROW),"trade-weighted real exch rate, FC/domestic",end,z1l,idx,ROW,76.87946118,73.80924643,79.5903187,83.43029603,82.18466153,100,104.64925605
341,REXC(USA),real exchange rate as US$ per unit of region currency,cos,j1l,idx,USA,100,100,100,100,100,100,100
342,REXC(ROW),real exchange rate as US$ per unit of region currency,cos,j1l,idx,ROW,100,100,100,100,100,100,100
343,REXN(USA),real exchange rate with capital controls,end,z1l,idx,USA,100,100,100,100,100,100,100
344,REXN(ROW),real exchange rate with capital controls,end,z1l,idx,ROW,100,100,100,100,100,100,100
345,"RISE(a01,USA)",equity risk premium by sector and region,exo,exo,del,USA,0,0,0,0,0,0,0
346,"RISE(a01,ROW)",equity risk premium by sector and region,exo,exo,del,ROW,0,0,0,0,0,0,0
347,"RISE(a02,USA)",equity risk premium by sector and region,exo,exo,del,USA,0,0,0,0,0,0,0
348,"RISE(a02,ROW)",equity risk premium by sector and region,exo,exo,del,ROW,0,0,0,0,0,0,0
349,RISH(USA),risk premium for human wealth,exo,exo,del,USA,0,0,0,0,0,0,0
350,RISH(ROW),risk premium for human wealth,exo,exo,del,ROW,0,0,0,0,0,0,0
351,RISR(USA),risk premium in the yield curve,exo,exo,del,USA,0,0,0,0,0,0,0
352,RISR(ROW),risk premium in the yield curve,exo,exo,del,ROW,0,0,0,0,0,0,0
353,RISW(USA),Blanchard probability of death,exo,exo,del,USA,3,3,3,3,3,3,3
354,RISW(ROW),Blanchard probability of death,exo,exo,del,ROW,3,3,3,3,3,3,3
355,RISY(USA),risk premium for raw-capital sector capital,exo,exo,del,USA,0,0,0,0,0,0,0
356,RISY(ROW),risk premium for raw-capital sector capital,exo,exo,del,ROW,0,0,0,0,0,0,0
357,RISZ(USA),risk premium for household capital,exo,exo,del,USA,0,0,0,0,0,0,0
358,RISZ(ROW),risk premium for household capital,exo,exo,del,ROW,0,0,0,0,0,0,0
359,ROGY(USA),potential output growth target,exo,exo,pct,USA,1.4,1.4,1.4,1.4,1.4,1.4,1.4
360,ROGY(ROW),potential output growth target,exo,exo,pct,ROW,1.4,1.4,1.4,1.4,1.4,1.4,1.4
361,RVGS(USA),revenue from unit taxes,exo,exo,gdp,USA,0,0,0,0,0,0,0
362,RVGS(ROW),revenue from unit taxes,exo,exo,gdp,ROW,0,0,0,0,0,0,0
363,SAVI(USA),real domestic saving using real interest rates,end,z1l,gdp,USA,20.69847567,22.26451441,23.44642518,30.83859236,22.81788951,12.05595143,20.41103214
364,SAVI(ROW),real domestic saving using real interest rates,end,z1l,gdp,ROW,20.69847567,22.26451441,23.44642518,30.83859236,22.81788951,12.05595143,20.41103214
365,SAVN(USA),real domestic saving using nominal interest rates,end,z1l,gdp,USA,23.06091728,24.64281133,25.19145384,32.50586097,28.34532473,20.45095907,24.73454083
366,SAVN(ROW),real domestic saving using nominal interest rates,end,z1l,gdp,ROW,23.06091728,24.64281133,25.19145384,32.50586097,28.34532473,20.45095907,24.73454083
367,SAVT(USA),domestic non-government saving using nominal interest rates,end,z1l,gdp,USA,18.61096985,18.48999964,18.50279095,17.53976763,16.55232775,16.79097355,17.2298718
368,SAVT(ROW),domestic non-government saving using nominal interest rates,end,z1l,gdp,ROW,18.61096985,18.48999964,18.50279095,17.53976763,16.55232775,16.79097355,17.2298718
369,"SHEF(a01,USA)",autonomous energy efficiency improvements,exo,exo,pct,USA,0,0,0,0,0,0,0
370,"SHEF(a01,ROW)",autonomous energy efficiency improvements,exo,exo,pct,ROW,0,0,0,0,0,0,0
371,"SHEF(a02,USA)",autonomous energy efficiency improvements,exo,exo,pct,USA,0,0,0,0,0,0,0
372,"SHEF(a02,ROW)",autonomous energy efficiency improvements,exo,exo,pct,ROW,0,0,0,0,0,0,0
373,SHEFC(USA),consumption autonomous energy efficiency improvements,exo,exo,pct,USA,0,0,0,0,0,0,0
374,SHEFC(ROW),consumption autonomous energy efficiency improvements,exo,exo,pct,ROW,0,0,0,0,0,0,0
375,"SHK(a01,USA)",shock to capital efficiency,exo,exo,pct,USA,0,0,0,0,0,0,0
376,"SHK(a01,ROW)",shock to capital efficiency,exo,exo,pct,ROW,0,0,0,0,0,0,0
377,"SHK(a02,USA)",shock to capital efficiency,exo,exo,pct,USA,0,0,0,0,0,0,0
378,"SHK(a02,ROW)",shock to capital efficiency,exo,exo,pct,ROW,0,0,0,0,0,0,0
379,SHKC(USA),shock to aggregate consumption,exo,exo,gdp,USA,0,0,0,0,0,0,0
380,SHKC(ROW),shock to aggregate consumption,exo,exo,gdp,ROW,0,0,0,0,0,0,0
381,"SHKI(USA,a01)",shock to inv equation,exo,exo,gdp,USA,0,0,0,0,0,0,0
382,"SHKI(USA,a02)",shock to inv equation,exo,exo,gdp,USA,0,0,0,0,0,0,0
383,"SHKI(ROW,a01)",shock to inv equation,exo,exo,gdp,ROW,0,0,0,0,0,0,0
384,"SHKI(ROW,a02)",shock to inv equation,exo,exo,gdp,ROW,0,0,0,0,0,0,0
385,SHKM(USA),shock to money demand,exo,exo,pct,USA,0,0,0,0,0,0,0
386,SHKM(ROW),shock to money demand,exo,exo,pct,ROW,0,0,0,0,0,0,0
387,"SHL(USA,a01)",shock to labor due to labor-augmenting technical change and/or population growth,exo,exo,pct,USA,0,0,0,0,0,0,0
388,"SHL(USA,a02)",shock to labor due to labor-augmenting technical change and/or population growth,exo,exo,pct,USA,0,0,0,0,0,0,0
389,"SHL(ROW,a01)",shock to labor due to labor-augmenting technical change and/or population growth,exo,exo,pct,ROW,0,0,0,0,0,0,0
390,"SHL(ROW,a02)",shock to labor due to labor-augmenting technical change and/or population growth,exo,exo,pct,ROW,0,0,0,0,0,0,0
391,SHLY(USA),shock to raw capital sector labor due to labor-augmenting technical change and/or population growth,exo,exo,pct,USA,0,0,0,0,0,0,0
392,SHLY(ROW),shock to raw capital sector labor due to labor-augmenting technical change and/or population growth,exo,exo,pct,ROW,0,0,0,0,0,0,0
393,SHLZ(USA),shock to household capital sector labor due to labor-augmenting technical change and/or population growth,exo,exo,pct,USA,0,0,0,0,0,0,0
394,SHLZ(ROW),shock to household capital sector labor due to labor-augmenting technical change and/or population growth,exo,exo,pct,ROW,0,0,0,0,0,0,0
395,"SHY(a01,USA)",shock to total factor productivity,exo,exo,pct,USA,0,0,0,0,0,0,0
396,"SHY(a01,ROW)",shock to total factor productivity,exo,exo,pct,ROW,0,0,0,0,0,0,0
397,"SHY(a02,USA)",shock to total factor productivity,exo,exo,pct,USA,0,0,0,0,0,0,0
398,"SHY(a02,ROW)",shock to total factor productivity,exo,exo,pct,ROW,0,0,0,0,0,0,0
399,SHYY(USA),shock to raw capital sector total factor productivity,exo,exo,pct,USA,0,0,0,0,0,0,0
400,SHYY(ROW),shock to raw capital sector total factor productivity,exo,exo,pct,ROW,0,0,0,0,0,0,0
401,SHYZ(USA),shock to household capital sector total factor productivity,exo,exo,pct,USA,0,0,0,0,0,0,0
402,SHYZ(ROW),shock to household capital sector total factor productivity,exo,exo,pct,ROW,0,0,0,0,0,0,0
403,"STM(a01,USA)",stock market value,end,z1l,gdp,USA,8.23934046,8.18241786,8.20462493,8.19448699,8.14507924,8.10001844,8.23021876
404,"STM(a01,ROW)",stock market value,end,z1l,gdp,ROW,8.23934046,8.18241786,8.20462493,8.19448699,8.14507924,8.10001844,8.23021876
405,"STM(a02,USA)",stock market value,end,z1l,gdp,USA,183.16817984,182.56849397,182.52928532,182.82340075,182.90540489,182.3165264,182.46221812
406,"STM(a02,ROW)",stock market value,end,z1l,gdp,ROW,183.16817984,182.56849397,182.52928532,182.82340075,182.90540489,182.3165264,182.46221812
407,STMT(USA),total stock market value,end,z1l,gdp,USA,191.4075203,190.75091183,190.73391025,191.01788774,191.05048413,190.41654484,190.69243688
408,STMT(ROW),total stock market value,end,z1l,gdp,ROW,191.4075203,190.75091183,190.73391025,191.01788774,191.05048413,190.41654484,190.69243688
409,"TAX(g01,USA)",sales tax on composite,exo,exo,pct,USA,2.79064154,2.48157977,2.46393992,2.46576506,2.61812881,2.72356682,2.45728515
410,"TAX(g01,ROW)",sales tax on composite,exo,exo,pct,ROW,2.79064154,2.48157977,2.46393992,2.46576506,2.61812881,2.72356682,2.45728515
411,"TAX(g02,USA)",sales tax on composite,exo,exo,pct,USA,2.79064154,2.48157977,2.46393992,2.46576506,2.61812881,2.72356682,2.45728515
412,"TAX(g02,ROW)",sales tax on composite,exo,exo,pct,ROW,2.79064154,2.48157977,2.46393992,2.46576506,2.61812881,2.72356682,2.45728515
413,TAXC(USA),revenue from sales and company taxes,end,z1l,gdp,USA,4.99043162,4.38458857,4.33217654,4.42635505,4.91310881,5.23301011,4.83997607
414,TAXC(ROW),revenue from sales and company taxes,end,z1l,gdp,ROW,4.99043162,4.38458857,4.33217654,4.42635505,4.91310881,5.23301011,4.83997607
415,TAXE(USA),revenue from externality taxes,end,z1l,gdp,USA,0,0,0,0,0,0,0
416,TAXE(ROW),revenue from externality taxes,end,z1l,gdp,ROW,0,0,0,0,0,0,0
417,TAXH(USA),revenue from taxes on wages,end,z1l,gdp,USA,6.33162003,5.36049257,5.37623856,5.56965047,6.30757548,7.18080137,5.63745465
418,TAXH(ROW),revenue from taxes on wages,end,z1l,gdp,ROW,6.33162003,5.36049257,5.37623856,5.56965047,6.30757548,7.18080137,5.63745465
419,TAXL(USA),revenue from lump-sum taxes,end,z1l,gdp,USA,0,0,0,0,0,0,0
420,TAXL(ROW),revenue from lump-sum taxes,end,z1l,gdp,ROW,0,0,0,0,0,0,0
421,TAXM(USA),tariff revenue,end,z1l,gdp,USA,0.18183479,0.18445804,0.17637472,0.15741662,0.17399433,0.18509245,0.16848187
422,TAXM(ROW),tariff revenue,end,z1l,gdp,ROW,0.18183479,0.18445804,0.17637472,0.15741662,0.17399433,0.18509245,0.16848187
423,TAXS(USA),exogenous lump sum tax,exo,exo,gdp,USA,0,0,0,0,0,0,0
424,TAXS(ROW),exogenous lump sum tax,exo,exo,gdp,ROW,0,0,0,0,0,0,0
425,TAXT(USA),total revenue,end,z1l,gdp,USA,11.50388644,9.92953918,9.88478983,10.15342214,11.39467862,12.59890393,10.64591258
426,TAXT(ROW),total revenue,end,z1l,gdp,ROW,11.50388644,9.92953918,9.88478983,10.15342214,11.39467862,12.59890393,10.64591258
427,TAXX(USA),external tax revenue,end,z1l,gdp,USA,0,0,0,0,0,0,0
428,TAXX(ROW),external tax revenue,end,z1l,gdp,ROW,0,0,0,0,0,0,0
429,TBAL(USA),"trade surplus, domestic currency",end,z1l,gdp,USA,0,0,0,0,0,0,0
430,TBAL(ROW),"trade surplus, domestic currency",end,z1l,gdp,ROW,0,0,0,0,0,0,0
431,TBAU(USA),"trade surplus, USD",end,z1l,gdp,USA,0,0,0,0,0,0,0
432,TBAU(ROW),"trade surplus, USD",end,z1l,gdp,ROW,0,0,0,0,0,0,0
433,TCOR(USA),tax rate on corporate profits,exo,exo,pct,USA,3,3,3,3,3,3,3
434,TCOR(ROW),tax rate on corporate profits,exo,exo,pct,ROW,3,3,3,3,3,3,3
435,"TEX(g01,USA)",extern tax on composite,exo,exo,pct,USA,0,0,0,0,0,0,0
436,"TEX(g01,ROW)",extern tax on composite,exo,exo,pct,ROW,0,0,0,0,0,0,0
